model_no,chipset,memory,memory_type,core_clock,boost_clock
40363,GeForce RTX 3090,24,,1395,1890
40364,GeForce RTX 3070,8,,1500,
40365,GeForce RTX 3080 10GB,10,,1440,1755
40366,Radeon RX 5600 XT,6,,1280,1620
40367,GeForce RTX 4090,24,,2235,2550
40368,Radeon RX 6800 XT,16,,1825,2310
40369,GeForce RTX 4070 Ti SUPER,16,,2340,2685
40370,GeForce RTX 3060 12GB,12,,1320,1837
40371,Radeon RX 5500 XT,4,,1685,1845
40372,Radeon RX 6700 XT,12,,2321,2581
40373,GeForce RTX 4060,8,,1830,2535
40374,GeForce RTX 3080 Ti,12,,1365,1845
40375,GeForce RTX 4080 SUPER,16,,2210,2580
40376,GeForce GTX 1650 G6,4,,1410,1620
40377,Radeon RX 580,8,,1257,1431
40378,GeForce RTX 4070 SUPER,12,,1980,2655
40379,GeForce GTX 1660 SUPER,6,,1530,1845
40380,GeForce RTX 3050 6GB,6,,1040,1477
40381,GeForce RTX 4070,12,,2475,2490
40382,GeForce RTX 4080,16,,2205,2535
40383,GeForce RTX 4070 Ti,12,,2310,2640
40384,Radeon RX 7600,8,,1720,2655
40385,GeForce RTX 2070 SUPER,8,,1605,1785
40386,GeForce RTX 2060,6,,1365,1755
40387,Radeon RX 7900 XTX,24,,2300,2500
40388,GeForce RTX 4070 Ti SUPER,16,,2340,2640
40389,Arc A310,4,,2000,
40390,GeForce RTX 4090,24,,2235,2580
40391,GeForce RTX 4060,8,,1830,2460
40392,GeForce RTX 3070 Ti,8,,1575,1830
40393,GeForce GTX 970,4,,1140,1279
40394,GeForce RTX 4070 Ti SUPER,16,,2340,2655
40395,GeForce RTX 3060 12GB,12,,1320,1882
40396,GeForce GTX 1050 Ti,4,,1290,1493
40397,GeForce RTX 4070 Ti,12,,2310,2640
40398,GeForce RTX 4060,8,,1830,2490
40399,GeForce RTX 4080,16,,2205,2655
40400,GeForce RTX 3080 Ti,12,,1365,1770
40401,GeForce RTX 4070,12,,1920,2520
40402,Radeon RX 570,4,,1168,1244
40403,Radeon RX 6700 XT,12,,2330,2615
40404,GeForce RTX 4060 Ti,16,,2310,2535
40405,GeForce RTX 3080 10GB LHR,10,,1440,1815
40406,GeForce GTX 1060 6GB,6,,1506,1709
40407,GeForce RTX 3060 Ti LHR,8,,1410,1695
40408,Radeon RX 6700,10,,2132,2425
40409,GeForce RTX 3060 12GB,12,,1320,1792
40410,Radeon RX 7700 XT,12,,1700,
40411,GeForce GTX 1070,8,,1506,1797
40412,GeForce RTX 2080 Ti,11,,1350,1635
40413,GeForce RTX 4060,8,,1830,2580
40414,GeForce RTX 2060,6,,1365,1680
40415,GeForce RTX 4060 Ti,8,,2310,2535
40416,GeForce RTX 3070,8,,1500,1815
40417,GeForce GTX 1080,8,,1607,1733
40418,Arc A750,8,,2050,
40419,GeForce RTX 3080 10GB,10,,1440,
40420,GeForce RTX 3090 Ti,24,,1560,1920
40421,GeForce RTX 4070 Ti,12,,2310,2760
40422,GeForce RTX 3060 12GB,12,,1320,1777
40423,Radeon RX 7700 XT,12,,1700,2599
40424,GeForce RTX 4090,24,,2235,2520
40425,GeForce RTX 2060,6,,1395,1710
