model_no,capacity,price_per_gb,type,cache,form_factor,interface
90268,512,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90269,512,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90270,512,0.068,SSD,,2.5,SATA 6.0 Gb/s
90271,1000,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90272,4000,0.046,SSD,,2.5,SATA 6.0 Gb/s
90273,5000,0.026,HDD,128,2.5,SATA 6.0 Gb/s
90274,500,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90275,250,0.16,SSD,256,2.5,SATA 6.0 Gb/s
90276,240,0.117,SSD,,2.5,SATA 6.0 Gb/s
90277,480,0.083,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90278,2000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90279,1000,0.085,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90280,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90281,1000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90282,2000,,HDD,64,3.5,SATA 6.0 Gb/s
90283,2000,0.051,SSD,,2.5,SATA 6.0 Gb/s
90284,2000,0.041,HDD,128,2.5,SATA 6.0 Gb/s
90285,1000,0.071,HDD,64,3.5,SATA 6.0 Gb/s
90286,240,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90287,2000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90288,2000,0.145,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90289,240,0.127,SSD,,2.5,SATA 6.0 Gb/s
90290,2000,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90291,2000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90292,2000,0.155,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90293,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90294,2000,0.17,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90295,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90296,6000,0.016,HDD,64,3.5,SATA 6.0 Gb/s
90297,10000,0.022,HDD,256,3.5,SATA 6.0 Gb/s
90298,1000,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90299,1000,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90300,320,0.032,HDD,8,2.5,SATA 3.0 Gb/s
90301,2000,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90302,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90303,1000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90304,1000,0.057,HDD,64,3.5,SATA 6.0 Gb/s
90305,1000,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90306,960,0.052,SSD,,2.5,SATA 6.0 Gb/s
90307,2000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90308,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90309,1000,0.115,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90310,1000,0.054,SSD,,2.5,SATA 6.0 Gb/s
90311,250,0.345,SSD,512,2.5,SATA 6.0 Gb/s
90312,6000,0.018,HDD,128,3.5,SATA 6.0 Gb/s
90313,2000,0.068,SSD,,2.5,SATA 6.0 Gb/s
90314,1000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90315,500,0.044,HDD,8,2.5,SATA 3.0 Gb/s
90316,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90317,512,0.061,SSD,,2.5,SATA 6.0 Gb/s
90318,2000,0.068,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90319,4000,0.068,SSD,,2.5,SATA 6.0 Gb/s
90320,1000,0.07,SSD,,2.5,SATA 6.0 Gb/s
90321,4000,0.025,HDD,256,3.5,SATA 6.0 Gb/s
90322,4000,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90323,10000,0.02,HDD,256,3.5,SATA 6.0 Gb/s
90324,1000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90325,2000,0.173,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90326,4000,0.275,SSD,4096,2.5,SATA 6.0 Gb/s
90327,512,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90328,2000,0.054,SSD,,M.2-2280,M.2 SATA
90329,4096,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90330,480,0.079,SSD,,2.5,SATA 6.0 Gb/s
90331,1000,0.069,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90332,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
