model_no,core_count,core_clock,boost_clock,graphics,socket
30686,4,3.4,,Intel HD Graphics,
30687,4,2.93,,,
30688,4,3.4,,Intel HD Graphics P4000,
30689,4,2.93,,,
30690,2,3.5,,Intel HD Graphics 530,
30691,2,2.6,,Intel HD Graphics,
30692,6,2.7,,,
30693,2,3.3,,Intel HD Graphics 4000,
30694,2,3.6,,Radeon HD 7540D,
30695,4,1.6,,Radeon HD 8400,
30696,4,3.8,,,
30697,4,3.3,3.7,Intel HD Graphics P4600,
30698,4,3.4,3.8,,
30699,2,3.5,,Intel HD Graphics 610,
30700,2,3.5,3.8,Radeon R5 (on die),
30701,2,3.2,,,
30702,4,3,3.5,,
30703,2,2.8,,Intel HD Graphics 510,
30704,4,2.4,,,
30705,12,2.9,4.4,,
30706,4,3.06,,,
30707,6,3.2,,,
30708,1,2.7,,,
30709,4,3.8,,,
30710,10,2.2,3,,
30711,6,3.2,3.8,,
30712,6,1.6,,,
30713,14,1.7,2.5,,
30714,6,2.3,3.7,Intel UHD Graphics 630,
30715,16,3.5,4.4,,
30716,6,2.3,3.9,Intel UHD Graphics 630,
30717,6,3.8,4.9,Intel HD Graphics P630,
30718,4,3.8,4.5,Intel UHD Graphics 630,
30719,2,2.6,,Intel HD Graphics 2000,
30720,2,3.1,,Intel HD Graphics 3000,
30721,8,4.4,4.7,,
