model_no,type,psu,side_panel,external_volume,internal_35_bays
15720,MicroATX Mini Tower,ATX,,20.9,2
15721,ATX Mid Tower,ATX,,,3
15722,ATX Mid Tower,ATX,,,3
15723,ATX Mid Tower,ATX,Acrylic,,4
15724,ATX Mid Tower,ATX,Acrylic,,4
15725,ATX Mid Tower,ATX,Acrylic,,4
15726,ATX Full Tower,ATX,Acrylic,,3
15727,ATX Mid Tower,ATX,Acrylic,,2
15728,ATX Mid Tower,ATX,Acrylic,,2
15729,MicroATX Mid Tower,ATX,Acrylic,,2
15730,MicroATX Mid Tower,ATX,Acrylic,,2
15731,MicroATX Mid Tower,ATX,Acrylic,,2
15732,MicroATX Mid Tower,ATX,Acrylic,,2
15733,ATX Mid Tower,ATX,Acrylic,,7
15734,MicroATX Desktop,ATX,Acrylic,,2
15735,MicroATX Desktop,ATX,Acrylic,,2
15736,MicroATX Desktop,ATX,Acrylic,,2
15737,ATX Desktop,ATX,,,4
15738,ATX Full Tower,ATX,Acrylic,,4
15739,ATX Mid Tower,ATX,,,7
15740,ATX Mid Tower,ATX,Acrylic,,7
15741,ATX Mid Tower,ATX,,,7
15742,ATX Mid Tower,ATX,Acrylic,,7
15743,Mini ITX Desktop,SFX,,,1
15744,ATX Mid Tower,ATX,Tempered Glass,,3
15745,ATX Full Tower,ATX,Acrylic,,6
15746,ATX Full Tower,ATX,Acrylic,,6
