model_no,RPM_low,RMP_high,noise_level,water_cooled
21002,800,1500,24.4,false
21003,500,1500,29.5,false
21004,200,1800,24.4,false
21005,200,1800,22.5,true
21006,800,2500,37.6,true
21007,600,1600,31,false
21008,1800,1800,31.6,false
21009,650,2200,30,true
21010,500,1800,38,true
21011,300,1400,28,false
21012,600,1800,27.7,false
21013,2000,2000,34,true
21014,0,0,35,true
21015,600,2000,0,false
21016,300,1500,26.4,true
21017,250,1800,0,true
21018,2200,2200,0,true
21019,650,1800,31.5,true
21020,500,2000,34.3,true
21021,600,2500,30,false
21022,650,2000,30,true
21023,900,2000,33.5,true
21024,800,2000,0,true
21025,2150,2150,28.1,true
21026,500,2000,22.3,true
21027,1000,1000,18.8,true
21028,500,1850,38,false
21029,2150,2150,27,true
21030,200,1800,23.5,false
21031,500,2200,34.2,true
21032,1550,1550,25.6,true
21033,300,1200,23,false
21034,500,2000,33.2,true
21035,800,1800,0,true
21036,2100,2100,43,true
